person_id,name,hit_entity,bucket,nationality,sex,highest_degree,field_of_study,institution,expertise,basis,source
p23,Zhong Huijuan,Hansoh Pharmaceutical (Jiangsu Hansoh / Haosen),healthcare_biotech,CN,F,Masters,unknown,Nanjing University,oncology pharmaceuticals,notes,
p24,Alfred Mann,Pacesetter Systems,healthcare_biotech,US,M,Masters,Physics,UCLA,implantable medical devices,notes,
p25,Karsanbhai Patel,Nirma,consumer_retail_industrial,IN,M,Bachelors,Chemistry,unknown,detergent manufacturing,notes,
p26,Anita Roddick,The Body Shop,consumer_retail_industrial,GB,F,unknown,Teaching,Newton Park College of Education,natural cosmetics retail,notes,
p27,Kim Sung-joo,Sungjoo International,consumer_retail_industrial,KR,F,Masters,Business Ethics and Economics,Harvard University,luxury brand licensing,notes,
p28,Rita Levi-Montalcini,Nobel Prize in Physiology or Medicine,science_research,IT,F,MD,Medicine,University of Turin Medical School,nerve growth factor,notes,
p29,Jean-Marie Lehn,Nobel Prize in Chemistry,science_research,FR,M,PhD,Chemistry,University of Strasbourg,supramolecular chemistry,notes,
p30,Tu Youyou,Nobel Prize in Physiology or Medicine,science_research,CN,F,Bachelors,Pharmacology,Beijing Medical College,artemisinin,notes,
p31,Sonali De Rycker,Accel London IV,investors_finance,GB,F,Masters,Business,Harvard Business School,venture capital,notes,
p32,Raghuram Rajan,,investors_finance,US,M,PhD,Finance,MIT Sloan,financial economics,notes,
p33,Toni Morrison,Song of Solomon,media_creators,US,F,Masters,American Literature,Cornell University,literary fiction,notes,
p34,Youssou N'Dour,"""7 Seconds"" (with Neneh Cherry)",media_creators,SN,M,unknown,unknown,unknown,mbalax,unknown,
p35,Ryan Petersen,Flexport,trade_import_logistics,US,M,Masters,Business,Columbia Business School,freight forwarding,notes,
p36,Melanie Perkins,Canva,software_internet,AU,F,HighSchool,unknown,Sacred Heart College,graphic design software,notes,
p37,Michelle Zatlyn,Cloudflare,software_internet,US,F,Masters,Business,Harvard Business School,content delivery networks,notes,
p38,Rana el Kaliouby,Affectiva,software_internet,US,F,PhD,Computer Science,University of Cambridge,affective computing,notes,
p39,Nadiem Makarim,Gojek,software_internet,ID,M,Masters,Business,Harvard Business School,ride-hailing,notes,
p40,Olugbenga Agboola,Flutterwave,software_internet,NG,M,Masters,Business,MIT Sloan School of Management,payments processing,notes,
p41,Kunal Bahl,Jasper Infotech (MoneySaver / Snapdeal),software_internet,IN,M,Bachelors,Management and Technology,University of Pennsylvania,e-commerce,notes,
p42,Enric Asunción,Wallbox,hardware_deeptech,ES,M,Masters,Engineering,Universitat Politècnica de Catalunya,EV charging hardware,notes,
p43,Federico Faggin,Zilog,hardware_deeptech,US,M,Masters,Physics,University of Padua,microprocessors,notes,
p44,David Sun,Camintonn Corporation,hardware_deeptech,US,M,Bachelors,Electrical Engineering,Tatung University,computer memory,notes,
p45,Min Kao,Garmin,hardware_deeptech,US,M,PhD,Electrical Engineering,University of Tennessee,GPS navigation,notes,
p46,Katrina Lake,Stitch Fix,consumer_retail_industrial,US,F,Masters,Business,Harvard Business School,apparel e-commerce,notes,
p47,Aliko Dangote,Dangote Group,consumer_retail_industrial,NG,M,Bachelors,Business Administration,Al-Azhar University,cement manufacturing,notes,
p48,James Dyson,Dyson,consumer_retail_industrial,GB,M,unknown,Industrial Design,Royal College of Art,cyclonic vacuum design,notes,
p49,Reshma Sohoni,Seedcamp Fund IV,investors_finance,GB,F,Masters,Business,INSEAD,seed-stage venture capital,notes,
p50,Hemant Taneja,General Catalyst Group VI,investors_finance,US,M,Masters,Electrical Engineering and Computer Science,Massachusetts Institute of Technology,growth-stage venture capital,notes,
p51,Aileen Lee,Cowboy Ventures III,investors_finance,US,F,Masters,Business,Harvard Business School,seed-stage venture capital,notes,
p52,Kendrick Lamar,"good kid, m.A.A.d city",media_creators,US,M,HighSchool,unknown,unknown,West Coast hip-hop,notes,
p53,Tems,Essence (with Wizkid),media_creators,NG,F,unknown,unknown,unknown,alté R&B,unknown,
p54,Taika Waititi,Hunt for the Wilderpeople,media_creators,NZ,M,Bachelors,Theatre,Victoria University of Wellington,feature film directing,researched,https://en.wikipedia.org/wiki/Taika_Waititi
p55,Donna Strickland,Nobel Prize in Physics,science_research,CA,F,PhD,Optics,University of Rochester,chirped pulse amplification,notes,
p56,Yoshua Bengio,ACM A.M. Turing Award,science_research,CA,M,PhD,Computer Science,McGill University,deep neural networks,notes,
p57,Maryam Mirzakhani,Fields Medal,science_research,US,F,PhD,Mathematics,Harvard University,hyperbolic geometry,notes,
p58,Özlem Türeci,Ganymed Pharmaceuticals,healthcare_biotech,DE,F,MD,Medicine,Saarland University,cancer immunotherapy,notes,
p59,Cyrus Poonawalla,Serum Institute of India,healthcare_biotech,IN,M,unknown,unknown,Brihan Maharashtra College of Commerce,vaccine manufacturing,unknown,
p60,Gianluigi Aponte,Mediterranean Shipping Company,trade_import_logistics,CH,M,HighSchool,Nautical studies,Istituto Tecnico Nautico Statale Nino Bixio,container shipping,notes,
