person_id,name,bucket,source_list,country_primary,gender,why_selected
p221,Allan Alcorn,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"CHM Fellow Awards, year order most recent first. 2026 skipped: John Chowning (r3, computer-music / FM synthesis, not hardware_deeptech), Ed Colligan (r2, Palm Computing already a hit entity), Donna Dubinsky (r1 and r2 Palm), Jeff Hawkins (r1 and r2 Palm), Brewster Kahle (r3, Internet Archive / search — software_internet). First 2024 Fellow in Hall of Fellows order. Membership: https://computerhistory.org/profile/allan-alcorn/ (""2024 Fellow"" / ""For his pioneering role in the development of the video game and personal computing industries""; ""best known as the creator of Pong and as a key pioneer in the early days of the video game industry""). Gender: Wikipedia REST ""American computer scientist and video game designer"" / CHM ""he worked at Ampex""."
p222,Nolan Bushnell,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"CHM Fellow Awards, next 2024 Fellow after Alcorn in Hall of Fellows order. Atari is not an existing hit entity; Alcorn was an Atari employee (own later ventures Zowie/Silicon Gaming), Bushnell cofounded Atari — not the same own-venture event under frame.md. Membership: https://computerhistory.org/profile/nolan-bushnell-fellow/ (""2024 Fellow"" / ""For his pioneering role in the development of the video game and personal computing industries""; ""In 1970, Bushnell cofounded Syzygy, which created Computer Space, the first coin-operated video game. In 1972, the name was changed to Atari""). Gender: Wikipedia REST ""American businessman and electrical engineer""."
p223,Jensen Huang,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"CHM Fellow Awards, 2024. Skipped Elizabeth ""Jake"" Feinler (r3, ARPANET/NIC/DNS directory work — software/internet, not hardware_deeptech). Next 2024 Fellow is Jensen Huang. Not skipped for fame. Membership: https://computerhistory.org/profile/jensen-huang/ (""2024 Fellow"" / ""For visionary leadership in the advancement of devices and systems for computer graphics, accelerated computing, and artificial intelligence""; ""Jensen Huang is founder, president, and CEO of NVIDIA.""). Gender: Wikipedia REST ""He immigrated to the United States"" / CHM ""He immigrated to the United States when he was nine years old"". Career NVIDIA in the US (US). Stopped after the third hardware take; did not continue to Steven Mayer."
p224,Robert Duggan,healthcare_biotech,Forbes World's Billionaires (self-made),US,M,"Forbes World's Billionaires 2026, rank order from 1, selfMade true, Healthcare industry. Skipped: 48 Thomas Frist Jr. (r1), 95 Cyrus Poonawalla (r4 selfMade false and r1), 100 Dilip Shanghvi (r1), 151 Zhong Huijuan (r1), 243 Sun Piaoyang (r1), 255 Andreas Struengmann (r2 Hexal, same event as Thomas Struengmann), 255 Thomas Struengmann (r1), 268 Chung Yong-ji (r1), 268 Carl Cook (r4), 271 Ernesto Bertarelli (r4). Rank 271 Robert Duggan is the first unused self-made Healthcare entry. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Robert Duggan"", rank 271, selfMade true, industries [""Healthcare""], source ""Pharmaceuticals""); profile https://www.forbes.com/profile/robert-duggan/ (bios ""In 2020, Robert Duggan invested $63 million in Nasdaq-listed Summit Therapeutics and became its Co-CEO""). Gender M from JSON gender field."
p225,Sulaiman Al Habib,healthcare_biotech,Forbes World's Billionaires (self-made),SA,M,"Forbes World's Billionaires 2026 rank 323, next unused self-made Healthcare. Skipped 271 Zhu Yi (r1), 279 Charlie Mills (r4), 284 Li Xiting (r2, Mindray cofounder — same hit entity as Xu Hang / Shenzhen Mindray Bio-Medical Electronics), 308 Patrick Soon-Shiong (r1). Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Sulaiman Al Habib"", rank 323, selfMade true, industries [""Healthcare""], source ""Hospital group""); profile https://www.forbes.com/profile/sulaiman-al-habib/ (bios ""Sulaiman Al Habib is the founder and chairman of Riyadh-based hospital group Dr. Sulaiman Al Habib Medical Services Group, known as HMG.""). Gender M from JSON gender field. Country SA."
p226,Seo Jung-jin,healthcare_biotech,Forbes World's Billionaires (self-made),KR,M,"Forbes World's Billionaires 2026 rank 346, next unused self-made Healthcare after p225. Skipped 332 Murali Divi (r1). Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Seo Jung-jin"", rank 346, selfMade true, industries [""Healthcare""], source ""Biotech""); profile https://www.forbes.com/profile/seo-jung-jin/ (bios ""Seo Jung-jin is cofounder of Celltrion, a biopharmaceutical firm that makes drugs to treat cancer, influenza and rheumatoid arthritis, among others.""). Gender M from JSON gender field. Country KR. Stopped at rank 346 for this bucket."
p227,Joel Mokyr,science_research,Nobel Prizes (Economics),US,M,"Nobel Prizes (Economics), year order most recent first. 2026 not yet announced (today 2026-08-22). 2025 is the most recent year. First-named 2025 laureate on the official summary (none of the three 2025 names are in already-used.md). Membership: https://www.nobelprize.org/prizes/economic-sciences/2025/summary/ (""The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2025 was awarded ""for having explained innovation-driven economic growth"" with one half to Joel Mokyr ""for having identified the prerequisites for sustained growth through technological progress"" and the other half jointly to Philippe Aghion and Peter Howitt ""for the theory of sustained growth through creative destruction""""). Gender: Wikipedia REST ""American and Israeli economic historian"" / ""He was awarded half a share"". Career primarily Northwestern University (US)."
p228,John J. Hopfield,science_research,Nobel Prizes (Physics),US,M,"Nobel Prizes (Physics), year order most recent first. 2025 skipped in full: John Clarke, Michel H. Devoret, John M. Martinis share the 2025 Physics prize; Devoret is already in the study (p157), so the 2025 Physics prize is the same hit event (rejection 2; prizes are per-year). 2024 is the next year. First-named 2024 laureate. Membership: https://www.nobelprize.org/prizes/physics/2024/summary/ (""The Nobel Prize in Physics 2024 was awarded jointly to John J. Hopfield and Geoffrey Hinton ""for foundational discoveries and inventions that enable machine learning with artificial neural networks""""). Gender: Wikipedia REST ""American physicist and emeritus professor"". Country US."
p229,Jean Bennett,science_research,Breakthrough Prize,US,F,"Breakthrough Prize, year order most recent first. 2026 announcement is the most recent. First-named 2026 Breakthrough Prize in Life Sciences laureate in the published citations (a different year of Breakthrough Prize in Life Sciences is a different event). Membership: https://breakthroughprize.org/News/98 (""2026 Breakthrough Prize in Life Sciences"" / ""Jean Bennett, University of Pennsylvania"" / ""Katherine A. High"" / ""Albert Maguire"" / ""For developing a therapy for inherited retinal degeneration that became the first FDA-approved gene therapy for a genetic disease.""; also ""Breakthrough Prize in Life Sciences Awarded to Jean Bennett, Katherine A. High and Albert Maguire; ...""). Gender: Wikipedia REST ""Her research focuses on gene therapy for retinal diseases"" / News/98 ""husband-and-wife team of molecular biologist Bennett and ophthalmic surgeon Maguire"". Country US."
p230,Douglas Leone,investors_finance,Midas List,US,M,"Midas List 2026, rank order from rank 1. Skipped ranks 1-7 all rejection 1: Vinod Khosla, Neil Shen, Eric Vishria, Gili Raanan, Peter Thiel, Elad Gil, Trae Stephens. Rank 8 is the first unused name. Membership: https://www.forbes.com/profile/douglas-leone/ (""Doug Leone is ranked at No. 8 on the 2026 Midas List, his 21st appearance.""); corroborated by https://www.forbes.com/forbesapi/person/midas/2026/position/true.json (personName ""Douglas Leone"", rank 8, listUri ""midas"", name ""The Midas List: Top Tech Investors""). Gender M from the Midas JSON gender field. Country US."
p231,Danny Rimer,investors_finance,Midas List Europe,GB,M,"Midas List Europe 2025 (most recent published Europe ranking; 2026 Europe JSON empty). Rank 1 from the top. Not already used. Membership: https://www.forbes.com/forbesapi/person/midas-europe/2025/position/true.json (personName ""Danny Rimer"", rank 1, organization ""Index Ventures"", listUri ""midas-europe"", name ""The Midas List Europe: Top Tech Investors"", listDescription ""The Midas List Europe""); profile https://www.forbes.com/profile/danny-rimer/ (""Danny Rimer is a partner at Index Ventures. Over three decades, the Swiss-Canadian investor has hopped between the U.S. and U.K., establishing Swiss-founded Index Venture's London offices in 2002""). Gender M from the Europe JSON gender field. Country GB (JSON country ""United Kingdom""; profile places the career in London)."
p232,Susie Neilson,media_creators,Pulitzer Prize,US,F,"Pulitzer Prize, year order most recent first (2026). Published order starts with Journalism. Public Service, Breaking News Reporting, and Investigative Reporting winners are organizations or ""Staff of ..."" — no named person on a winner page (cannot enter). First named individual winners are Explanatory Reporting. First-named of that trio. Membership: https://www.pulitzer.org/news/2026-pulitzer-prize-announcement (""Explanatory Reporting"" / ""Susie Neilson, Megan Fan Munce and Sara DiNatale of the San Francisco Chronicle""); also https://en.wikipedia.org/wiki/2026_Pulitzer_Prize (same names as 2026 Explanatory Reporting winners). Gender: pulitzer.org finalist biography for the same person (""Susie Neilson is an investigative reporter for the San Francisco Chronicle. Previously, she spent three years on the Chronicle's data team... She is a graduate of the UC Berkeley Graduate School of Journalism""). Country US."
p233,Olivia Dean,media_creators,Grammy Awards,GB,F,"Grammy Awards, year order most recent first (68th Annual Grammy Awards, 1 February 2026). General Field published order: Record of the Year Kendrick Lamar & SZA (r1 both), Album of the Year Bad Bunny (r1), Song of the Year Billie Eilish (r1). Next General Field category is Best New Artist. Membership: https://www.grammy.com/artists/olivia-dean/61201/ (""68th Annual Grammy Awards"" / ""Best New Artist - Winner"" / ""Olivia Dean""); Wikipedia 68th Annual Grammy Awards (""Olivia Dean won Best New Artist, the ninth woman in a row to win the award""). Gender F from that Wikipedia sentence. Country GB (Wikipedia REST ""English singer and songwriter"")."
p234,Brad Jacobs,trade_import_logistics,Forbes World's Billionaires (self-made),US,M,"Forbes World's Billionaires 2026, rank order from 1, selfMade true, Logistics industry (the industry that maps to this bucket). Skipped: 44 Gianluigi Aponte (r1), 44 Rafaela Aponte-Diamant (r2, Mediterranean Shipping Company same event), 47 Klaus-Michael Kuehne (r4 selfMade false), 118 John Fredriksen (r1), 175 Enrique Razon Jr. (r4). Rank 166 is the first unused self-made Logistics entry. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Brad Jacobs"", rank 166, selfMade true, industries [""Logistics""], source ""Logistics""); profile https://www.forbes.com/profile/brad-jacobs/. Gender M from JSON gender field."
p235,Kjell Inge Rokke,trade_import_logistics,Forbes World's Billionaires (self-made),NO,M,"Forbes World's Billionaires 2026, next unused self-made Logistics entry after p234 whose source is shipping (trade). Skipped 461 Saadé family (r4), 477 Dennis Washington (r3: JSON industries Logistics but source ""Construction, mining"" / bios Washington Companies diversified construction-mining — wrong bucket for trade_import_logistics), 509 Maria Angelicoussis (r4), 567 Evangelos Marinakis (r4). Rank 487 Kjell Inge Rokke, source ""Shipping, seafood"". Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Kjell Inge Rokke"", rank 487, selfMade true, industries [""Logistics""], source ""Shipping, seafood""); profile https://www.forbes.com/profile/kjell-inge-rokke/ (bios ""Kjell Inge Rokke owns over 68% of publicly traded Aker, a shipping and offshore drilling conglomerate.""). Gender M from JSON gender field. Country NO. Stopped at rank 487 for this bucket."
